,X,Object.ID,scan.name,LMA,Leaf.Area..cm2.,Leaf.mass..g.,SLA,Species,Location,Notes,Species_ID,GenePop_ID,SpeciesLoc_ID,Clone,sp_loc,genetic_name,Name,DA
50,78.5,242.5,"dryhyb-tm41_00245, dryhyb-tm41_00246, dryhyb-tm41_00247, dryhyb-tm41_00248",0.006417722,7.9,0.0507,155.8185404,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi41_DA,DryhybTM41,0.9076
51,82.5,254.5,"dryhyb-tm43_00257, dryhyb-tm43_00258, dryhyb-tm43_00259, dryhyb-tm43_00260",0.012470462,9.31,0.1161,80.18949182,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi43_DA,DryhybTM43,0.9778
52,622.5,3.75,"BG_dryoct_00001, BG_dryoct_00003, BG_dryoct_00005, BG_dryoct_00006",0.012637681,3.45,0.0436,79.12844037,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc01_DO,DryoctBG1,0.0468
53,626.5,58.5,"BG_dryoct_00057, BG_dryoct_00058, BG_dryoct_00059, BG_dryoct_00060",0.014502488,4.02,0.0583,68.95368782,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc10_DO,DryoctBG10,0.0396
54,630.5,64.5,"BG_dryoct_00063, BG_dryoct_00064, BG_dryoct_00065, BG_dryoct_00066",0.009273356,2.89,0.0268,107.8358209,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc11_DO,DryoctBG11,0.0384
55,634.5,70.5,"BG_dryoct_00069, BG_dryoct_00070, BG_dryoct_00071, BG_dryoct_00072",0.013313609,3.38,0.045,75.11111111,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc12_DO,DryoctBG12,0.0634
56,638.5,74.75,"BG_dryoct_00073, BG_dryoct_00074, BG_dryoct_00075, BG_dryoct_00077",0.013040153,5.23,0.0682,76.68621701,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc13_DO,DryoctBG13,0.088
57,642.5,80.75,"BG_dryoct_00079, BG_dryoct_00080, BG_dryoct_00081, BG_dryoct_00083",0.012657143,3.5,0.0443,79.00677201,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc14_DO,DryoctBG14,0.0502
58,646.5,88.25,"BG_dryoct_00086, BG_dryoct_00088, BG_dryoct_00089, BG_dryoct_00090",0.011367673,5.63,0.064,87.96875,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc15_DO,DryoctBG15,0.0392
59,650.5,94.25,"BG_dryoct_00092, BG_dryoct_00094, BG_dryoct_00095, BG_dryoct_00096",0.013228621,5.73,0.0758,75.59366755,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc16_DO,DryoctBG16,0.0456
60,654.5,100.5,"BG_dryoct_00099, BG_dryoct_00100, BG_dryoct_00101, BG_dryoct_00102",0.011309013,4.66,0.0527,88.42504744,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc17_DO,DryoctBG17,0.0598
61,658.5,105,"BG_dryoct_00103, BG_dryoct_00104, BG_dryoct_00106, BG_dryoct_00107",0.009172932,7.98,0.0732,109.0163934,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc18_DO,DryoctBG18,0.0658
62,662.5,111.25,"BG_dryoct_00109, BG_dryoct_00110, BG_dryoct_00112, BG_dryoct_00114",0.00995365,8.63,0.0859,100.4656577,octopetala,Bison Gulch,NA,DO,DO_bgc,DO_bgc,No,DO_bg,bgc19_DO,DryoctBG19,0.0602
